Cluster 0
 Centroid: 8.083479860864246,5.424212910709182
     8.083479860864246,8.083479860864246 distance to the Centroid:0.0
     8.177690865289923,8.177690865289923 distance to the Centroid:0.11031662376366805
     8.077684994782006,8.077684994782006 distance to the Centroid:0.19917896233439594
     8.20271493663944,8.20271493663944 distance to the Centroid:0.17553799087435595
     8.531684879788248,8.531684879788248 distance to the Centroid:0.5001486595122905
     7.844874588449644,7.844874588449644 distance to the Centroid:0.23890446869054757
     7.971912656810973,7.971912656810973 distance to the Centroid:0.1912517709368101
     8.123793296862827,8.123793296862827 distance to the Centroid:0.3790203162583817
     7.913393255876117,7.913393255876117 distance to the Centroid:0.3185998658502978
     7.823074228237614,7.823074228237614 distance to the Centroid:0.2636857196351336
     8.167974905905682,8.167974905905682 distance to the Centroid:0.12055655421703346
Cluster 1
 Centroid: 6.5245470706549265,5.825401865228801
     6.5245470706549265,6.5245470706549265 distance to the Centroid:0.0
     6.520077123935131,6.520077123935131 distance to the Centroid:0.027103477216521846
     6.4641563270648605,6.4641563270648605 distance to the Centroid:0.07410398477861016
     6.654628471682774,6.654628471682774 distance to the Centroid:0.13114384678745655
     6.583487897740019,6.583487897740019 distance to the Centroid:0.06335923441435357
     6.526664048404936,6.526664048404936 distance to the Centroid:0.08799508284672113
     6.439193353432942,6.439193353432942 distance to the Centroid:0.1216589047964998
     6.538842114418813,6.538842114418813 distance to the Centroid:0.06691485391612703
     6.469327228559933,6.469327228559933 distance to the Centroid:0.09210828430563749
